product;coord_x;coord_y;label
"Smartphone Samsung Galaxy S4 4G Android 4.2 - Câmera 13MP Tela 5"" Wi-Fi Proc. Quad Core";-4401370000000000;7.53973E+016;Celular
Celular Motorola MotoTV EX139 Dual Chip - TV Digital/Anal;-6128130000000000;2.2042E+016;Celular
Celular LG C310 Desbloqueado;-3.51128E+016;1.42006E+016;Celular
Freecel Duo TV Vermelho. Dual Chip. TV Integrada. C;-2.64399E+016;2.76422E+016;Celular
Smartphone Desbloqueado LG Optimus L5 II Dual Preto com Android 4.1. C;-6127880000000000;1.03368E+016;Celular
Motorola Nextel i296. GPS. Bluetooth;-5.52617E+016;2.61413E+016;Celular
Celular Desbloqueado TIM EX119 Motokey Mini Branco/Rosa- Motorola;-6663860000000000;1.87586E+016;Celular
"Celular LG Optimus L7 P705 Preto. Tela de 4.3"". Android 4.0. Processador de 1GHz. Câmera de 5MP. Wi-Fi. 3G. Rádio FM. MP3 Player. Bluetooth";-3.7223E+016;4240050000000000;Celular
NOKIA X1-01 PRETO;-3390620000000000;2911600000000000;Celular
Smartphone Samsung Galaxy S4 4G I9505 Branco. Processador Quad Core 1.9 Ghz. Android 4.2. Wi -Fi. GPS. Câmera 13.0 MP. Mp3. Memória 16 GB;-4.21141E+016;5961020000000000;Celular
Celular Motorola EX115 Motokey 2 Chips Desbloqueado - Rosa/Branco;-667996000000000;1.88317E+015;Celular
Telefone Celular Nokia X1-01 Dual Chip MP3 Radio FM e Fone de Ouvido Desbloqueado;-1251390000000000;-1.332E+016;Celular
Celular Samsung GT-C3222 Chat322 Prata. Quad-Band. C;-2306600000000000;1.46075E+016;Celular
Celular LG Desbloqueado Claro A180 R;-3513900000000000;1.359E+016;Celular
Celular LG Dual Chip Desbloqueado C375 C;-2.76732E+016;2.2786E+016;Celular
Smartphone Nokia C5-03- 3G. Wi-Fi. GPS. C;-4603860000000000;2.83434E+016;Celular
Celular Nokia 710 Lumia Branco;-3524440000000000;2940740000000000;Celular
"Celular Sony Xperia E C1604 Desbloqueado com Dual Chip. Android 4.0. Memória 4GB. Processador 1GHz. Tela 3.5"". 3G/Wi-Fi. Câmera 3.2MP - Preto";-4.01508E+016;2.0261E+016;Celular
Smartphone LG Optimus P350 Android 3G. Wi - Fi. A-GPS. FM. Bluetooth Desbloqueado;-4590420000000000;182257000000000;Celular
Celular Desbloqueado Multilaser Star P3148 Branco/Rosa QWERTY. Dual Chip c/ C;-3.05467E+016;232504000000000;Celular
Celular Samsung E2152 Duos Lite Leitor 2 Chips C;-3.68195E+016;3.58968E+016;Celular
C5 Celular 3G Nokia C5 03 Touch - C;-3521370000000000;2.83136E+016;Celular
Samsung Galaxy Y TV S5367. Processador 832MHz. Android 2.3. 3G. GPS. Wi-Fi. TV Digital. C;-4.14939E+015;8095190000000001;Celular
Smartphone Sony Xperia arc S 1.4GHz 3G Android 2.3 Wi-Fi C;-4589710000000000;1.5804E+016;Celular
Smartphone Galaxy S4 Branco Tela 5. 3G. Wi-Fi. Android 4.2. Processador Octa Core. C;-4269150000000000;5837610000000000;Celular
Smartphone Sony Ericsson Live Walkman Desbloqueado Oi Branco - Android 2.3 Processador 1GHz Tela 3.2 C;-424019000000000;3353840000000000;Celular
Celular Desbloqueado Motorola Screen EX128 Dual Chip;-6178400000000000;2.08497E+016;Celular
Smartphone Motorola Spice XT Desbloqueado Tim. Preto. Android 2.3. Tela 3.5. C;-5462100000000000;1.87802E+016;Celular
Smartphone Xperia E Dual Chip. Display 3.5. 3G. Wi-Fi. Android 4.0. Processador 1Ghz. C;-4360200000000000;4550960000000000;Celular
Smartphone Samsung Galaxy Note II N7100 Desbloqueado Android 4.1 Jelly Bean. Processador Quad Core 1.6 GHz. Tela 5.5. C;-4.46153E+016;1.4246E+016;Celular
Celular Motorola Motokey EX115 GSM Desbloqueado;-642354000000000;1.66578E+016;Celular
Samsung M2710 Beat Twist Azul - GSM c/ C;-3.93743E+016;2.24845E+016;Celular
Smartphone Samsung Galaxy 551 GT-I5510 Desbloqueado;-5093260000000000;9.86227E+015;Celular
Celular ZTE R221 Desbloqueado;-2.31437E+016;2.43348E+016;Celular
Celular MEU AN200 Pt/Cz Dual Chip. Android 2.3. Processador 1GHz. Câmera 3.2MP. Wi-Fi. MP3 Player. Bluetooth. Rádio FM e Cartão 2GB;-3.12776E+016;7.75708E+016;Celular
Celular desbloqueado Blackberry Torch 9860 GPS. Wi-Fi. 3G. Bluetooth . Camera 5MP com Flash LED;-4.12234E+015;3281650000000000;Celular
SMARTPHONE NOKIA LUMIA 800 AZUL - DESBLOQUEADO - Nokia;-4753750000000000;3031480000000000;Celular
Celular Smartphone QWERTY Touchscreen com MP3 Player. Wi-Fi e 3G Motokey EX225 - Motorola;-5946430000000000;1.58281E+016;Celular
Celular LG Optimus L5 II E455 Dual Chip. Full Touch 4;-6252170000000000;9.59699E+015;Celular
Samsung Duos Touch Rosa Celular Desbloqueado c/ Leitor de Dois Chips. Touch Screen. C;-3.64191E+016;3608090000000000;Celular
Nokia 2220 Desbloqueado TIM Rosa. Câmera. Rádio FM. Toques MP3;-2.64053E+016;7868580000000000;Celular
