product;coord_x;coord_y;label
A00004421 : Celular Nokia Asha 201 Grafite - GSM;-3,27887E+15;3,31919E+15;Celular
Celular Dual Chip ZTE G R236 Palmeiras - C;-2,40818E+16;2,56508E+16;Celular
Celular Asha 205 Dual Chip, C;-2,92071E+16;2,64315E+16;Celular
Nokia C3 Rosa com Teclado QWERTY, Wi-fi, C;-3,21007E+16;2,45784E+16;Celular
Samsung GSM Galaxy Pocket Neo Duos S5312 Prata Desbloqueado, Android 4.1, Dual Chip, Câmera 2 Mpx;-4,54742E+14;9,41481E+14;Celular
Samsung Galaxy 5 Preto - GSM - Desbloqueado TIM c/ Sistema Operacional Android 2.1, Tecnologia 3G, Wi-Fi, GPS, C;-4,23516E+15;1,18553E+16;Celular
Celular Samsung Chat S3350 Desbloqueado C;-3,07711E+16;1,5279E+16;Celular
Celular Desbloqueado WX294 - Dual Chip, C;-2,88878E+16;2,29686E+16;Celular
Celular Navcity NP-324 GSM Quadriband, Dual SIM, Multimidia com MP3, MP4, Vibracall, R;-2,29461E+16;1,13991E+16;Celular
Smartphone Nokia C5-03 Cinza/ Prata Desbloqueado com C;-4,88121E+15;2,79389E+15;Celular
Celular SAMSUNG Ref. C3752;-2,40872E+16;1,58999E+16;Celular
Smartphone Desbloqueado Windows Phone 3G Omnia W i677 Preto SAMSUNG;-5,03783E+15;2,07187E+15;Celular
Nextel Motorola i867, Branco, Android, Tela Touch 3.1, C;-5,30511E+15;2,4389E+16;Celular
Celular Samsung Rex70 S3802 Duos Gf, Dual Chip, Câmera 2.0 MP, Wi-Fi, MP3 Player, Rádio FM, Bluetooth e os Aplicativos para Facebook, Twitter e ChatON;-2,84726E+15;1,04103E+16;Celular
